ds_id,constant,generation,animation_path,upstream_commit
471,MOVE_HONE_CLAWS,Gen 5,armips/move/move_anim/471.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
472,MOVE_WIDE_GUARD,Gen 5,armips/move/move_anim/472.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
473,MOVE_GUARD_SPLIT,Gen 5,armips/move/move_anim/473.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
474,MOVE_POWER_SPLIT,Gen 5,armips/move/move_anim/474.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
475,MOVE_WONDER_ROOM,Gen 5,armips/move/move_anim/475.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
476,MOVE_PSYSHOCK,Gen 5,armips/move/move_anim/476.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
477,MOVE_VENOSHOCK,Gen 5,armips/move/move_anim/477.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
478,MOVE_AUTOTOMIZE,Gen 5,armips/move/move_anim/478.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
479,MOVE_RAGE_POWDER,Gen 5,armips/move/move_anim/479.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
480,MOVE_TELEKINESIS,Gen 5,armips/move/move_anim/480.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
481,MOVE_MAGIC_ROOM,Gen 5,armips/move/move_anim/481.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
482,MOVE_SMACK_DOWN,Gen 5,armips/move/move_anim/482.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
483,MOVE_STORM_THROW,Gen 5,armips/move/move_anim/483.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
484,MOVE_FLAME_BURST,Gen 5,armips/move/move_anim/484.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
485,MOVE_SLUDGE_WAVE,Gen 5,armips/move/move_anim/485.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
486,MOVE_QUIVER_DANCE,Gen 5,armips/move/move_anim/486.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
487,MOVE_HEAVY_SLAM,Gen 5,armips/move/move_anim/487.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
488,MOVE_SYNCHRONOISE,Gen 5,armips/move/move_anim/488.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
489,MOVE_ELECTRO_BALL,Gen 5,armips/move/move_anim/489.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
490,MOVE_SOAK,Gen 5,armips/move/move_anim/490.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
491,MOVE_FLAME_CHARGE,Gen 5,armips/move/move_anim/491.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
492,MOVE_COIL,Gen 5,armips/move/move_anim/492.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
493,MOVE_LOW_SWEEP,Gen 5,armips/move/move_anim/493.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
494,MOVE_ACID_SPRAY,Gen 5,armips/move/move_anim/494.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
495,MOVE_FOUL_PLAY,Gen 5,armips/move/move_anim/495.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
496,MOVE_SIMPLE_BEAM,Gen 5,armips/move/move_anim/496.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
497,MOVE_ENTRAINMENT,Gen 5,armips/move/move_anim/497.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
498,MOVE_AFTER_YOU,Gen 5,armips/move/move_anim/498.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
499,MOVE_ROUND,Gen 5,armips/move/move_anim/499.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
500,MOVE_ECHOED_VOICE,Gen 5,armips/move/move_anim/500.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
501,MOVE_CHIP_AWAY,Gen 5,armips/move/move_anim/501.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
502,MOVE_CLEAR_SMOG,Gen 5,armips/move/move_anim/502.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
503,MOVE_STORED_POWER,Gen 5,armips/move/move_anim/503.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
504,MOVE_QUICK_GUARD,Gen 5,armips/move/move_anim/504.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
505,MOVE_ALLY_SWITCH,Gen 5,armips/move/move_anim/505.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
506,MOVE_SCALD,Gen 5,armips/move/move_anim/506.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
507,MOVE_SHELL_SMASH,Gen 5,armips/move/move_anim/507.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
508,MOVE_HEAL_PULSE,Gen 5,armips/move/move_anim/508.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
509,MOVE_HEX,Gen 5,armips/move/move_anim/509.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
510,MOVE_SKY_DROP,Gen 5,armips/move/move_anim/510.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
511,MOVE_SHIFT_GEAR,Gen 5,armips/move/move_anim/511.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
512,MOVE_CIRCLE_THROW,Gen 5,armips/move/move_anim/512.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
513,MOVE_INCINERATE,Gen 5,armips/move/move_anim/513.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
514,MOVE_QUASH,Gen 5,armips/move/move_anim/514.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
515,MOVE_ACROBATICS,Gen 5,armips/move/move_anim/515.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
516,MOVE_REFLECT_TYPE,Gen 5,armips/move/move_anim/516.s,398a3020943f1ae98987e5b12b73d9086bbba3ce
